Begin Kmeans model
apollo,dn320,400.0,1000.0,3000.0,0.0,1.0,2.0,38.0,23.0
dg,eclipse:mv/10000,140.0,1000.0,16000.0,16.0,1.0,3.0,138.0,72.0
cdc,omega:480-i,50.0,500.0,2000.0,8.0,1.0,4.0,20.0,23.0
dg,eclipse:mv/8000,110.0,1000.0,12000.0,16.0,1.0,2.0,60.0,56.0
ibm,4361-4,25.0,2000.0,12000.0,8.0,1.0,4.0,49.0,59.0
sperry,80/5,180.0,262.0,4000.0,0.0,1.0,3.0,18.0,24.0
cdc,cyber:170/825,50.0,2620.0,10480.0,30.0,12.0,24.0,63.0,74.0
amdahl,470v/7,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0,253.0
ibm,3033:s,57.0,4000.0,16000.0,1.0,6.0,12.0,132.0,82.0
cambex,1651-1,50.0,2000.0,16000.0,8.0,3.0,6.0,60.0,74.0
prime,50-550-ii,160.0,1000.0,4000.0,8.0,1.0,14.0,38.0,29.0
ibm,4341-2,180.0,2000.0,16000.0,16.0,1.0,6.0,66.0,76.0
cdc,cyber:170/760,25.0,1310.0,2620.0,131.0,12.0,24.0,368.0,102.0
nas,as/8050,40.0,8000.0,32000.0,64.0,8.0,24.0,277.0,266.0
nas,as/6150,60.0,4000.0,16000.0,32.0,1.0,6.0,86.0,95.0
hp,3000/40,105.0,256.0,2000.0,0.0,3.0,10.0,26.0,20.0
harris,500,300.0,768.0,12000.0,6.0,6.0,24.0,50.0,52.0
honeywell,dps:8/44,140.0,2000.0,4000.0,8.0,1.0,20.0,35.0,32.0
four-phase,2000/260,125.0,512.0,1000.0,0.0,8.0,20.0,36.0,19.0
dg,eclipse:mv/10000,140.0,1000.0,16000.0,16.0,1.0,3.0,138.0,72.0
nas,as/6130,75.0,4000.0,16000.0,16.0,1.0,6.0,66.0,86.0
burroughs,b5920,143.0,3100.0,6200.0,0.0,5.0,20.0,33.0,39.0
cdc,cyber:170/845,64.0,5240.0,20970.0,30.0,12.0,24.0,208.0,136.0
basf,7/65,60.0,2000.0,8000.0,65.0,1.0,8.0,92.0,70.0
gould,concept:32/8780,75.0,2000.0,16000.0,128.0,1.0,38.0,259.0,157.0
nas,as/5000-n,92.0,2000.0,8000.0,4.0,1.0,6.0,50.0,41.0
magnuson,m80/32,100.0,1000.0,8000.0,24.0,3.0,6.0,32.0,46.0
siemens,7.561,52.0,4000.0,16000.0,32.0,4.0,12.0,130.0,99.0
ibm,4341-9,225.0,1000.0,4000.0,2.0,3.0,6.0,24.0,26.0
cdc,cyber:170/760,25.0,1310.0,2620.0,131.0,12.0,24.0,368.0,102.0
ibm,4341-12,185.0,2000.0,16000.0,16.0,1.0,6.0,76.0,76.0
ibm,4381-2,17.0,4000.0,16000.0,32.0,6.0,12.0,133.0,116.0
honeywell,dps:8/44,140.0,2000.0,4000.0,8.0,1.0,20.0,35.0,32.0
ncr,v8665,38.0,8000.0,24000.0,160.0,4.0,8.0,140.0,281.0
sperry,80/3,180.0,262.0,4000.0,0.0,1.0,3.0,12.0,24.0
ibm,4381-1,17.0,4000.0,16000.0,8.0,6.0,12.0,100.0,101.0
prime,50-850-ii,160.0,2000.0,8000.0,32.0,1.0,13.0,109.0,53.0
ibm,4341-11,180.0,2000.0,8000.0,8.0,1.0,6.0,50.0,42.0
hp,3000/64,75.0,2000.0,8000.0,8.0,3.0,24.0,62.0,47.0
ibm,4341-1,225.0,2000.0,4000.0,8.0,3.0,6.0,40.0,31.0
sperry,1100/82,50.0,2000.0,32000.0,48.0,26.0,52.0,208.0,227.0
amdahl,470v/7,29.0,8000.0,32000.0,32.0,8.0,32.0,269.0,253.0
perkin-elmer,3230,250.0,1000.0,16000.0,1.0,1.0,8.0,50.0,64.0
siemens,7.872-2,59.0,8000.0,16000.0,64.0,12.0,24.0,188.0,149.0
sperry,1100/83,50.0,2000.0,32000.0,112.0,52.0,104.0,307.0,341.0
ibm,4331-1,900.0,512.0,1000.0,0.0,1.0,2.0,11.0,17.0
Begin Kmeans Test Set
siemens,7.870-2,59.0,4000.0,12000.0,32.0,6.0,12.0,113.0,81.0
